Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22uF,16V","C_0805_2012Metric",73.951800,58.761600,-90.000000,bottom
"C13","0.1uF,16V","C_0402_1005Metric",59.291800,54.271600,0.000000,bottom
"C15","0.1uF,16V","C_0402_1005Metric",95.440328,44.115177,0.000000,bottom
"C16","4.7uF,10V","C_0402_1005Metric",56.551800,51.781600,90.000000,bottom
"C17","0.1uF,16V","C_0402_1005Metric",55.671800,51.781600,90.000000,bottom
"C18","10uF,10V","C_0402_1005Metric",55.401800,46.151600,180.000000,bottom
"C25","0.1uF,16V","C_0402_1005Metric",55.271800,40.761600,90.000000,bottom
"C27","10uF,10V","C_0402_1005Metric",60.961800,51.561600,90.000000,bottom
"C28","10uF,10V","C_0402_1005Metric",58.381800,46.641600,90.000000,bottom
"C30","10uF,16V","C_0603_1608Metric",9.921800,54.861600,180.000000,bottom
"C32","0.1uF,16V","C_0402_1005Metric",115.061800,2.751600,-90.000000,bottom
"C33","10uF,10V","C_0402_1005Metric",60.121800,40.721600,-90.000000,bottom
"C34","47pF,50V","C_0402_1005Metric",82.354000,12.548200,-90.000000,bottom
"C35","47pF,50V","C_0402_1005Metric",69.091800,12.561600,-90.000000,bottom
"C36","47pF,50V","C_0402_1005Metric",79.214000,12.544200,-90.000000,bottom
"C37","47pF,50V","C_0402_1005Metric",74.124000,12.538200,-90.000000,bottom
"C38","47pF,50V","C_0402_1005Metric",87.354000,12.528200,-90.000000,bottom
"C39","0.1uF,16V","C_0402_1005Metric",81.820700,59.728500,0.000000,bottom
"C40","0.1uF,16V","C_0402_1005Metric",60.091800,51.561600,90.000000,bottom
"C41","22uF,16V","C_0805_2012Metric",83.051800,61.971600,90.000000,bottom
"C42","22uF,16V","C_0805_2012Metric",81.141800,62.001600,90.000000,bottom
"C43","22pF,50V","C_0402_1005Metric",82.491800,58.151600,-90.000000,bottom
"C44","0.1uF,16V","C_0402_1005Metric",60.391800,46.011600,0.000000,bottom
"C45","10uF,10V","C_0402_1005Metric",62.931800,46.491600,0.000000,bottom
"C46","0.1uF,16V","C_0402_1005Metric",62.961800,47.371600,0.000000,bottom
"C47","10uF,10V","C_0402_1005Metric",62.981800,48.291600,0.000000,bottom
"C50","22uF,16V","C_0805_2012Metric",75.801800,58.831600,-90.000000,bottom
"C51","10uF,10V","C_0402_1005Metric",59.291800,53.361600,180.000000,bottom
"C52","10uF,10V","C_0402_1005Metric",61.781800,51.561600,90.000000,bottom
"C53","1nF,2kV","C_1206_3216Metric",140.611800,76.191600,180.000000,bottom
"C69","1nF,2kV","C_1206_3216Metric",124.591800,74.451600,0.000000,bottom
"C70","1nF,2kV","C_1206_3216Metric",129.961800,74.471600,0.000000,bottom
"C72","0.1uF,50V","C_0402_1005Metric",115.651800,68.301600,180.000000,bottom
"C73","0.1uF,50V","C_0402_1005Metric",115.931800,61.941600,0.000000,bottom
"C74","0.1uF,16V","C_0402_1005Metric",71.051800,38.261600,180.000000,bottom
"C77","10uF,10V","C_0402_1005Metric",98.361800,81.441600,-90.000000,bottom
"C83","10nF,50V","C_0402_1005Metric",30.411800,85.781600,90.000000,bottom
"C84","0.1uF,16V","C_0402_1005Metric",62.931800,49.261600,180.000000,bottom
"C87","10nF,50V","C_0402_1005Metric",41.111800,63.841600,180.000000,bottom
"C88","0.1uF,16V","C_0402_1005Metric",98.461800,2.401600,-90.000000,bottom
"C89","0.1uF,16V","C_0402_1005Metric",106.945800,2.721600,-90.000000,bottom
"C92","0.1uF,16V","C_0402_1005Metric",57.131800,54.261600,180.000000,bottom
"C93","0.1uF,16V","C_0402_1005Metric",57.121800,53.341600,180.000000,bottom
"C94","0.1uF,16V","C_0402_1005Metric",57.671800,43.611600,180.000000,bottom
"C97","0.1uF,16V","C_0402_1005Metric",57.531800,44.841600,-90.000000,bottom
"C98","10uF,10V","C_0402_1005Metric",56.231800,40.761600,-90.000000,bottom
"C99","0.1uF,16V","C_0402_1005Metric",59.241800,40.731600,90.000000,bottom
"C100","0.1uF,16V","C_0402_1005Metric",82.211800,84.781600,90.000000,bottom
"C101","0.1uF,16V","C_0402_1005Metric",60.951800,74.411600,-90.000000,bottom
"C103","0.1uF,16V","C_0402_1005Metric",48.661800,74.601600,-90.000000,bottom
"C104","10uF,10V","C_0402_1005Metric",49.641800,74.611600,-90.000000,bottom
"C106","10uF,10V","C_0402_1005Metric",50.891800,52.901600,90.000000,bottom
"C107","10nF,50V","C_0402_1005Metric",51.791800,52.901600,90.000000,bottom
"C108","10nF,50V","C_0402_1005Metric",53.941800,52.361600,90.000000,bottom
"C109","10uF,10V","C_0402_1005Metric",53.001800,52.361600,90.000000,bottom
"C110","2.2nF,50V","C_0402_1005Metric",65.921800,55.081600,0.000000,bottom
"C117","1nF,2kV","C_1206_3216Metric",128.051800,96.651600,-90.000000,bottom
"C119","10uF,10V","C_0402_1005Metric",60.041800,74.401600,-90.000000,bottom
"C122","0.1uF,16V","C_0402_1005Metric",72.581800,61.111600,0.000000,bottom
"C123","0.1uF,16V","C_0402_1005Metric",78.771800,55.691600,0.000000,bottom
"C124","0.1uF,50V","C_0402_1005Metric",115.881800,88.261600,180.000000,bottom
"C125","10uF,10V","C_0402_1005Metric",105.941800,72.771600,0.000000,bottom
"C126","10nF,50V","C_0402_1005Metric",6.881800,30.001600,0.000000,bottom
"C127","0.1uF,50V","C_0402_1005Metric",116.941800,81.941600,180.000000,bottom
"C128","10nF,50V","C_0402_1005Metric",6.881800,32.641600,0.000000,bottom
"C129","0.1uF,16V","C_0402_1005Metric",96.990328,50.525800,90.000000,bottom
"C130","10uF,16V","C_0603_1608Metric",91.141800,43.191600,180.000000,bottom
"C132","0.1uF,16V","C_0402_1005Metric",98.990328,42.115177,90.000000,bottom
"C133","0.1uF,16V","C_0402_1005Metric",98.628328,50.465177,90.000000,bottom
"C134","0.1uF,16V","C_0402_1005Metric",96.590328,42.165177,90.000000,bottom
"C135","0.1uF,16V","C_0402_1005Metric",95.310328,45.365177,0.000000,bottom
"C136","10uF,16V","C_0603_1608Metric",100.231800,50.341600,90.000000,bottom
"C138","1nF,2kV","C_1206_3216Metric",124.296800,90.511600,0.000000,bottom
"C139","0.1uF,16V","C_0402_1005Metric",100.658328,44.140177,180.000000,bottom
"C140","0.1uF,16V","C_0402_1005Metric",100.441800,47.631600,-90.000000,bottom
"C142","0.1uF,16V","C_0402_1005Metric",98.981800,47.621600,-90.000000,bottom
"C143","0.1uF,16V","C_0402_1005Metric",95.440328,46.515177,0.000000,bottom
"C149","1nF,2kV","C_1206_3216Metric",140.086800,36.011600,180.000000,bottom
"C150","1nF,2kV","C_1206_3216Metric",134.376800,34.301600,180.000000,bottom
"C151","10nF,50V","C_0402_1005Metric",6.881800,35.071600,0.000000,bottom
"C152","1nF,2kV","C_1206_3216Metric",124.764800,93.429400,180.000000,bottom
"C153","4.7uF,16V","C_0603_1608Metric",35.684800,54.021602,90.000000,bottom
"C154","0.1uF,16V","C_0402_1005Metric",41.374800,53.671602,90.000000,bottom
"C155","10uF,16V","C_0603_1608Metric",42.574800,54.046602,90.000000,bottom
"C156","10uF,10V","C_0402_1005Metric",62.901800,50.081600,0.000000,bottom
"C157","10nF,50V","C_0402_1005Metric",61.151800,59.841600,0.000000,bottom
"C158","10nF,50V","C_0402_1005Metric",61.151800,60.651600,0.000000,bottom
"C159","10nF,50V","C_0402_1005Metric",61.151800,61.461600,0.000000,bottom
"C160","10nF,50V","C_0402_1005Metric",61.151800,62.271600,0.000000,bottom
"C161","1nF,2kV","C_1206_3216Metric",138.681800,18.591600,0.000000,bottom
"C172","0.1uF,16V","C_0402_1005Metric",122.911800,2.801600,-90.000000,bottom
"C246","10uF,10V","C_0402_1005Metric",84.171800,20.491600,0.000000,bottom
"C247","0.1uF,16V","C_0402_1005Metric",73.321800,23.501600,180.000000,bottom
"C248","0.1uF,16V","C_0402_1005Metric",84.181800,21.436000,0.000000,bottom
"C250","0.1uF,16V","C_0402_1005Metric",84.481800,25.451600,0.000000,bottom
"C252","10uF,10V","C_0402_1005Metric",76.941800,16.261600,-90.000000,bottom
"C253","0.1uF,16V","C_0402_1005Metric",79.691800,16.196000,-90.000000,bottom
"C254","0.1uF,16V","C_0402_1005Metric",73.491800,18.426000,180.000000,bottom
"C255","0.1uF,16V","C_0402_1005Metric",81.121800,27.431600,90.000000,bottom
"C257","0.1uF,16V","C_0402_1005Metric",84.231800,18.446000,0.000000,bottom
"D1"," 1N5819HW-7-F","D_SOD-123",9.391800,52.911600,180.000000,bottom
"D3","BAT54A-7-F","SOT-23",138.670350,27.199200,180.000000,bottom
"D7","NUP2105L","SOT-23",29.721800,95.971600,-90.000000,bottom
"FB1","100Ω@100MHz_2A","R_0805_2012Metric",72.151800,58.811600,90.000000,bottom
"FB3","100Ω@100MHz_2A","R_0603_1608Metric",103.501800,72.821600,180.000000,bottom
"FB5","100Ω@100MHz 2A","R_0603_1608Metric",34.221800,54.051602,90.000000,bottom
"FB8","100Ω@100MHz 2A","R_0603_1608Metric",47.751800,53.261600,180.000000,bottom
"FB10","100Ω@100MHz_2A","R_0603_1608Metric",100.281800,81.931600,0.000000,bottom
"L6","4.7uH_1.4A","L1008",77.420700,62.048500,180.000000,bottom
"R4","0Ω","R_0603_1608Metric",68.881800,54.551600,180.000000,bottom
"R8","10K","R_0402_1005Metric",68.991800,74.371600,-90.000000,bottom
"R17","10K","R_0402_1005Metric",83.551800,74.201600,-90.000000,bottom
"R18","5.1K","R_0402_1005Metric",138.221800,29.431600,180.000000,bottom
"R19","5.1K","R_0402_1005Metric",138.271800,25.011600,180.000000,bottom
"R21","10K_0402","R_0402_1005Metric",129.286000,0.711200,0.000000,bottom
"R22","10K_0402","R_0402_1005Metric",129.286000,3.251200,0.000000,bottom
"R23","10K","R_0402_1005Metric",32.991800,54.151304,-90.000000,bottom
"R25","0Ω","R_0603_1608Metric",58.291800,51.291600,0.000000,bottom
"R26","10K","R_0402_1005Metric",116.077800,2.731600,90.000000,bottom
"R27","0Ω","R_0402_1005Metric",107.051800,55.761600,90.000000,bottom
"R28","0Ω","R_0402_1005Metric",109.171800,56.981600,180.000000,bottom
"R30","0Ω","R_0402_1005Metric",113.191800,81.541600,0.000000,bottom
"R31","0Ω_0402","R_0402_1005Metric",90.728800,2.286000,90.000000,bottom
"R32","100Ω","R_0402_1005Metric",88.387000,12.524200,90.000000,bottom
"R33","100Ω","R_0402_1005Metric",73.147000,12.524200,90.000000,bottom
"R34","100Ω","R_0402_1005Metric",78.227000,12.524200,90.000000,bottom
"R35","100Ω","R_0402_1005Metric",68.067000,12.524200,90.000000,bottom
"R36","100Ω","R_0402_1005Metric",83.307000,12.524200,90.000000,bottom
"R37","10K","R_0402_1005Metric",72.136000,12.524200,-90.000000,bottom
"R38","10K","R_0402_1005Metric",77.216000,12.524200,-90.000000,bottom
"R39","10K","R_0402_1005Metric",84.328000,12.524200,-90.000000,bottom
"R42","1M","R_1206_3216Metric",138.679300,20.671600,0.000000,bottom
"R49","33Ω","R_0402_1005Metric",73.541800,85.431600,90.000000,bottom
"R53","60.4Ω_1206","R_1206_3216Metric",27.111800,86.541600,90.000000,bottom
"R55","1K","R_0402_1005Metric",51.031800,74.251600,90.000000,bottom
"R59","10K","R_0402_1005Metric",123.927800,2.801600,90.000000,bottom
"R63","49.9Ω","R_0402_1005Metric",41.131800,64.791600,0.000000,bottom
"R67","60.4Ω_1206","R_1206_3216Metric",33.141800,86.561600,-90.000000,bottom
"R80","75Ω_0603","R_0603_1608Metric",123.721800,61.861600,0.000000,bottom
"R81","75Ω_0603","R_0603_1608Metric",123.801800,68.211600,0.000000,bottom
"R82","75Ω_0603","R_0603_1608Metric",129.476000,65.878020,0.000000,bottom
"R83","75Ω_0603","R_0603_1608Metric",129.476000,63.846020,0.000000,bottom
"R88","10K","R_0402_1005Metric",64.001800,36.891600,0.000000,bottom
"R89","10K","R_0402_1005Metric",81.511800,58.138500,90.000000,bottom
"R90","10K","R_0402_1005Metric",83.461800,58.141600,-90.000000,bottom
"R91","1M","R_1206_3216Metric",130.621800,96.631600,-90.000000,bottom
"R92","1M","R_1206_3216Metric",140.571800,73.981600,180.000000,bottom
"R94","33Ω","R_0402_1005Metric",72.331800,74.331600,90.000000,bottom
"R95","1M","R_1206_3216Metric",140.086800,33.561600,0.000000,bottom
"R96","10K","R_0402_1005Metric",64.591800,17.171600,90.000000,bottom
"R98","10K","R_0402_1005Metric",99.461800,2.401600,90.000000,bottom
"R99","10K","R_0402_1005Metric",107.961800,2.701600,90.000000,bottom
"R101","10K","R_0402_1005Metric",78.790700,56.678500,180.000000,bottom
"R106","33Ω","R_0402_1005Metric",64.001800,74.351600,90.000000,bottom
"R107","33Ω","R_0402_1005Metric",82.261800,74.221600,-90.000000,bottom
"R109","10Ω","R_0402_1005Metric",64.141800,55.081600,180.000000,bottom
"R110","33Ω","R_0402_1005Metric",80.921800,74.211600,-90.000000,bottom
"R111","10K","R_0402_1005Metric",52.631800,74.271600,-90.000000,bottom
"R116","2.49K","R_0402_1005Metric",107.451800,61.771600,90.000000,bottom
"R117","0Ω","R_0402_1005Metric",111.831800,88.941600,0.000000,bottom
"R118","0Ω","R_0402_1005Metric",111.831800,87.871600,0.000000,bottom
"R120","0Ω","R_0402_1005Metric",106.811800,58.981600,90.000000,bottom
"R121","0Ω","R_0402_1005Metric",108.361800,59.961600,90.000000,bottom
"R124","0Ω","R_0402_1005Metric",113.191800,82.441600,0.000000,bottom
"R126","0Ω","R_0402_1005Metric",113.351800,68.691600,0.000000,bottom
"R129","0Ω","R_0402_1005Metric",113.351800,67.801600,0.000000,bottom
"R131","0Ω","R_0402_1005Metric",113.071800,62.281600,0.000000,bottom
"R133","33Ω","R_0402_1005Metric",74.581800,85.451600,90.000000,bottom
"R134","33Ω","R_0402_1005Metric",63.001800,74.331600,-90.000000,bottom
"R135","33Ω","R_0402_1005Metric",62.021800,74.331600,-90.000000,bottom
"R136","0Ω","R_0402_1005Metric",113.071800,61.311600,0.000000,bottom
"R137","2.49K","R_0402_1005Metric",95.221800,57.261600,-90.000000,bottom
"R141","4.7K","R_0402_1005Metric",93.681800,41.471600,90.000000,bottom
"R143","4.7K","R_0402_1005Metric",102.421800,38.421600,90.000000,bottom
"R145","4.7K","R_0402_1005Metric",92.651800,41.451600,-90.000000,bottom
"R147","4.7K","R_0402_1005Metric",94.931800,41.441600,-90.000000,bottom
"R149","4.7K","R_0402_1005Metric",91.527800,41.461600,-90.000000,bottom
"R150","4.7K","R_0402_1005Metric",90.511800,41.461600,-90.000000,bottom
"R154","4.7K","R_0402_1005Metric",130.578528,38.467800,180.000000,bottom
"R155","330Ω","R_0402_1005Metric",130.580528,39.483800,0.000000,bottom
"R156","4.7K","R_0402_1005Metric",122.836528,54.580000,180.000000,bottom
"R157","330Ω","R_0402_1005Metric",125.036528,54.580000,180.000000,bottom
"R158","75Ω_0603","R_0603_1608Metric",124.050728,40.703000,0.000000,bottom
"R159","75Ω_0603","R_0603_1608Metric",124.036528,44.380000,0.000000,bottom
"R160","75Ω_0603","R_0603_1608Metric",124.036528,48.380000,0.000000,bottom
"R161","75Ω_0603","R_0603_1608Metric",124.036528,52.180000,0.000000,bottom
"R162","33Ω","R_0402_1005Metric",67.671800,74.351600,-90.000000,bottom
"R163","33Ω","R_0402_1005Metric",56.141800,74.311600,-90.000000,bottom
"R164","33Ω","R_0402_1005Metric",66.391800,74.351600,-90.000000,bottom
"R165","33Ω","R_0402_1005Metric",54.871800,74.311600,-90.000000,bottom
"R169","220Ω","R_0402_1005Metric",55.331800,89.881600,-90.000000,bottom
"R170","220Ω","R_0402_1005Metric",57.711800,89.881600,-90.000000,bottom
"R171","220Ω","R_0402_1005Metric",60.441800,89.881600,-90.000000,bottom
"R172","220Ω","R_0402_1005Metric",62.801800,89.881600,-90.000000,bottom
"R173","220Ω","R_0402_1005Metric",65.331800,89.881600,-90.000000,bottom
"R174","220Ω","R_0402_1005Metric",68.021800,94.996600,-90.000000,bottom
"R175","220Ω","R_0402_1005Metric",60.211800,94.791600,-90.000000,bottom
"R176","220Ω","R_0402_1005Metric",57.721800,94.791600,-90.000000,bottom
"R180","75Ω_0603","R_0603_1608Metric",123.626800,81.951600,0.000000,bottom
"R181","75Ω_0603","R_0603_1608Metric",123.766800,88.321600,0.000000,bottom
"R182","75Ω_0603","R_0603_1608Metric",129.476000,85.961800,0.000000,bottom
"R183","75Ω_0603","R_0603_1608Metric",129.476000,83.929800,0.000000,bottom
"R184","0Ω","R_0402_1005Metric",91.041800,63.111600,90.000000,bottom
"R185","0Ω","R_0402_1005Metric",91.991800,63.111600,90.000000,bottom
"R186","0Ω","R_0402_1005Metric",92.981800,64.141600,90.000000,bottom
"R187","0Ω","R_0402_1005Metric",93.961800,64.141600,90.000000,bottom
"R188","0Ω","R_0402_1005Metric",93.631800,60.751600,90.000000,bottom
"R189","0Ω","R_0402_1005Metric",94.531800,60.751600,90.000000,bottom
"R190","0Ω","R_0402_1005Metric",97.701800,59.111600,-90.000000,bottom
"R191","0Ω","R_0402_1005Metric",96.761800,59.111600,-90.000000,bottom
"R194","33Ω","R_0402_1005Metric",2.631800,11.261600,180.000000,bottom
"R195","33Ω","R_0402_1005Metric",2.631800,12.146600,180.000000,bottom
"R196","33Ω","R_0402_1005Metric",2.631800,13.031600,180.000000,bottom
"R285","12K","R_0402_1005Metric",80.181800,27.421600,-90.000000,bottom
"R288","10K","R_0402_1005Metric",70.891800,18.111600,180.000000,bottom
"R289","10K","R_0402_1005Metric",70.891800,21.051600,180.000000,bottom
"R290","0Ω_0402","R_0402_1005Metric",70.891800,19.070443,180.000000,bottom
"R291","0Ω_0402","R_0402_1005Metric",70.891800,20.086443,180.000000,bottom
"R292","5.1K","R_0402_1005Metric",137.849900,11.101301,0.000000,bottom
"R293","5.1K","R_0402_1005Metric",137.749900,14.101301,0.000000,bottom
"U3","74HC165D,653","SOIC-16",77.791800,79.651600,180.000000,bottom
"U5","MX25L12833FM2I-10G","SOIC8_208mil",67.731800,41.661600,0.000000,bottom
"U12","TLV62569DBVR","SOT-23-5",78.798800,58.758799,0.000000,bottom
"U13","LP5907MFX-3.3/NOPB","SOT-23-5",38.901800,54.191600,0.000000,bottom
"U20","74HC595D,118","SOIC-16",65.699300,79.660850,0.000000,bottom
"U21","74HC595D,118","SOIC-16",54.091800,79.601600,0.000000,bottom
"C2","10uF,16V","C_0603_1608Metric",35.751800,55.656600,-90.000000,top
"C3","10uF,16V","C_0603_1608Metric",126.491800,23.906600,-90.000000,top
"C4","10uF,16V","C_0603_1608Metric",38.511800,55.586600,90.000000,top
"C5","0.1uF,16V","C_0402_1005Metric",39.761800,55.586600,90.000000,top
"C6","0.1uF,16V","C_0402_1005Metric",105.553800,18.191600,90.000000,top
"C7","22uF,16V","C_0805_2012Metric",106.853800,18.661600,90.000000,top
"C8","10uF,16V","C_0603_1608Metric",132.151800,23.896600,-90.000000,top
"C9","22uF,16V","C_0805_2012Metric",45.651800,55.906600,90.000000,top
"C10","0.1uF,16V","C_0402_1005Metric",44.211800,55.276600,90.000000,top
"C11","62pF,50V","C_0402_1005Metric",100.915800,71.231600,90.000000,top
"C12","0.1uF,50V","C_0402_1005Metric",103.861800,71.211600,-90.000000,top
"C14","0.1uF,16V","C_0402_1005Metric",99.111800,63.881600,180.000000,top
"C19","22uF,16V","C_0805_2012Metric",108.623800,18.661600,90.000000,top
"C20","0.1uF,16V","C_0402_1005Metric",107.811800,13.151600,0.000000,top
